Name,State,City,Zip,Type,Image,Ranking,ACT,AidPercentage,AcceptanceRate,Fees,GPAAvg,Enrollment,SATAvg,SATRange,ACTRange,YearFounded,AcademicCalendar,Setting,SchoolWebsite
Princeton University,NJ,Princeton,8544,private,https://www.usnews.com/dims4/USNEWS/f7b3088/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4a%2Fde%2Fe754e2714cae81f92edb1c7b273d%2F190827princeton-university23.jpg,1,32,61,5,51870,3.9,5428,1440,1440-1570,32-35,1746,Semester,Suburban,http://www.princeton.edu
Harvard University,MA,Cambridge,2138,private,https://www.usnews.com/dims4/USNEWS/41d5f91/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F09a2103d862fb8eb15a9a6542c080b%2Fcollege-photo_8866.jpg,2,33,55,5,51925,4,6788,1460,1460-1580,33-35,1636,Semester,Urban,http://www.harvard.edu/
Massachusetts Institute of Technology,MA,Cambridge,2139,private,https://www.usnews.com/dims4/USNEWS/7387a62/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2Fc5193da7eb9dcbd26e794c018ac87a%2Fcollege-photo_6935.jpg,3,34,60,7,53790,,4602,1500,1500-1570,34-36,1861,Unknown,Urban,http://web.mit.edu/
Columbia University,NY,New York,10027,private,https://www.usnews.com/dims4/USNEWS/2a6cd5c/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1d%2F422774361a22d50cb6230e30fbeb84%2Fcollege-photo_36142.jpg,3,33,50,6,61850,,6202,1450,1450-1560,33-35,1754,Semester,Urban,http://www.columbia.edu
Yale University,CT,New Haven,6520,private,https://www.usnews.com/dims4/USNEWS/fd89007/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8f%2Ff7526019804e07ae828f06b89df8c0%2Fcollege-photo_8737.jpg,3,33,53,6,55500,,5964,1450,1450-1560,33-35,1701,Semester,City,http://www.yale.edu/
Stanford University,CA,Stanford,94305,private,https://www.usnews.com/dims4/USNEWS/1b44b84/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6d%2Fc497d367e3b5da44ac673b8f9dfbbf%2Fcollege-photo_10369.jpg,6,32,48,4,53529,3.9,7087,1420,1420-1570,32-35,1885,Quarter,Suburban,http://www.stanford.edu
University of Chicago,IL,Chicago,60637,private,https://www.usnews.com/dims4/USNEWS/80f7a99/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1b%2F21b5db2ec835c2de92b9fb30131c19%2Fcollege-photo_23449.jpg,6,33,41,7,59298,,6552,1490,1490-1570,33-35,1890,Quarter,Urban,http://www.uchicago.edu
University of Pennsylvania,PA,Philadelphia,19104,private,https://www.usnews.com/dims4/USNEWS/8299dfb/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2F2357eaa9bde06e03bfb80c920320a0%2Fcollege-photo_27654.jpg,6,32,46,8,57770,3.9,10183,1440,1440-1560,32-35,1740,Semester,Urban,http://www.upenn.edu
Northwestern University,IL,Evanston,60208,private,https://www.usnews.com/dims4/USNEWS/0dfe5bf/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1b%2F883eda3cecf9310213504704f8e6f5%2Fcollege-photo_34282.jpg,9,33,45,8,56691,,8231,1430,1430-1550,33-35,1851,Quarter,Suburban,http://www.northwestern.edu
Duke University,NC,Durham,27708,private,https://www.usnews.com/dims4/USNEWS/6cc3dc9/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F25%2F2d774e6ec10d6ad447ab9c8f3bbd63%2Fcollege-photo_35613.jpg,10,33,44,9,58198,,6682,1450,1450-1570,33-35,1838,Semester,Suburban,http://www.duke.edu/
